Paso,Fuego Activo,Area Quemada
0,4,5
1,8,13
2,12,25
3,16,41
4,20,61
5,24,85
6,28,113
7,32,145
8,36,181
9,40,221
10,44,265
11,48,313
12,52,365
13,56,421
14,60,481
15,64,545
16,68,613
17,72,685
18,76,761
19,80,841
20,84,925
21,88,1013
22,92,1105
23,96,1201
24,100,1301
25,104,1405
26,108,1513
27,112,1625
28,116,1741
29,120,1861
30,124,1985
31,128,2113
32,132,2245
33,136,2381
34,140,2521
35,144,2665
36,148,2813
37,152,2965
38,156,3121
39,160,3281
40,164,3445
41,168,3613
42,172,3785
43,176,3961
44,180,4141
45,184,4325
46,188,4513
47,192,4705
48,196,4901
49,200,5101
50,204,5305
51,208,5513
52,212,5725
53,216,5941
54,220,6161
55,224,6385
56,228,6613
57,232,6845
58,236,7081
59,240,7321
60,244,7565
61,248,7813
62,252,8065
63,256,8321
64,260,8581
65,264,8845
66,268,9113
67,272,9385
68,276,9661
69,280,9941
70,284,10225
71,288,10513
72,292,10805
73,296,11101
74,300,11401
75,304,11705
76,308,12013
77,312,12325
78,316,12641
79,320,12961
80,324,13285
81,328,13613
82,332,13945
83,336,14281
84,340,14621
85,344,14965
86,348,15313
87,352,15665
88,356,16021
89,360,16381
90,364,16745
91,368,17113
92,372,17485
93,376,17861
94,380,18241
95,384,18625
96,388,19013
97,392,19405
98,396,19801
99,400,20201
100,404,20605
101,408,21013
102,412,21425
103,416,21841
104,420,22261
105,424,22685
106,428,23113
107,432,23545
108,436,23981
109,440,24421
110,444,24865
111,448,25313
112,452,25765
113,456,26221
114,460,26681
115,464,27145
116,468,27613
117,472,28085
118,476,28561
119,480,29041
120,484,29525
121,488,30013
122,492,30505
123,496,31001
124,500,31501
125,504,32005
126,508,32513
127,512,33025
128,516,33541
129,520,34061
130,524,34585
131,528,35113
132,532,35645
133,536,36181
134,540,36721
135,544,37265
136,548,37813
137,552,38365
138,556,38921
139,560,39481
140,564,40045
141,568,40613
142,572,41185
143,576,41761
144,580,42341
145,584,42925
146,588,43513
147,592,44105
148,596,44701
149,600,45301
150,604,45905
151,608,46513
152,612,47125
153,616,47741
154,620,48361
155,624,48985
156,628,49613
157,632,50245
158,636,50881
159,640,51521
160,644,52165
161,648,52813
162,652,53465
163,656,54121
164,660,54781
165,664,55445
166,668,56113
167,672,56785
168,676,57461
169,680,58141
170,684,58825
171,688,59513
172,692,60205
173,696,60901
174,700,61601
175,704,62305
176,708,63013
177,712,63725
178,716,64441
179,720,65161
180,724,65885
181,728,66613
182,732,67345
183,736,68081
184,740,68821
185,744,69565
186,748,70313
187,752,71065
188,756,71821
189,760,72581
190,764,73345
191,768,74113
192,772,74885
193,776,75661
194,780,76441
195,784,77225
196,788,78013
197,792,78805
198,796,79601
199,800,80401
